"filename", "language", "PHP", "Markdown", "JSON", "JavaScript", "CSS", "HTML", "comment", "blank", "total"
"c:\xampp\htdocs\ReeyaEcommerce\js\signupValidation.js", "JavaScript", 0, 0, 0, 105, 0, 0, 9, 14, 128
"c:\xampp\htdocs\ReeyaEcommerce\login.php", "PHP", 51, 0, 0, 0, 0, 0, 0, 0, 51
"c:\xampp\htdocs\ReeyaEcommerce\order-success.php", "PHP", 243, 0, 0, 0, 0, 0, 15, 33, 291
"c:\xampp\htdocs\ReeyaEcommerce\php\add-to-cart.php", "PHP", 79, 0, 0, 0, 0, 0, 14, 23, 116
"c:\xampp\htdocs\ReeyaEcommerce\php\add-wishlist.php", "PHP", 36, 0, 0, 0, 0, 0, 5, 9, 50
"c:\xampp\htdocs\ReeyaEcommerce\php\billing-update.php", "PHP", 122, 0, 0, 0, 0, 0, 30, 28, 180
"c:\xampp\htdocs\ReeyaEcommerce\php\delete-wishlist.php", "PHP", 28, 0, 0, 0, 0, 0, 3, 8, 39
"c:\xampp\htdocs\ReeyaEcommerce\php\delete_from_cart.php", "PHP", 31, 0, 0, 0, 0, 0, 2, 10, 43
"c:\xampp\htdocs\ReeyaEcommerce\php\move-all-to-cart.php", "PHP", 46, 0, 0, 0, 0, 0, 7, 11, 64
"c:\xampp\htdocs\ReeyaEcommerce\php\redeem_coupon.php", "PHP", 39, 0, 0, 0, 0, 0, 7, 10, 56
"c:\xampp\htdocs\ReeyaEcommerce\php\stripe-payment.php", "PHP", 63, 0, 0, 0, 0, 0, 10, 12, 85
"c:\xampp\htdocs\ReeyaEcommerce\php\update-cart.php", "PHP", 40, 0, 0, 0, 0, 0, 4, 10, 54
"c:\xampp\htdocs\ReeyaEcommerce\php\user-login.php", "PHP", 33, 0, 0, 0, 0, 0, 5, 7, 45
"c:\xampp\htdocs\ReeyaEcommerce\php\user-signup.php", "PHP", 36, 0, 0, 0, 0, 0, 5, 8, 49
"c:\xampp\htdocs\ReeyaEcommerce\product-details.php", "PHP", 185, 0, 0, 0, 0, 0, 0, 6, 191
"c:\xampp\htdocs\ReeyaEcommerce\signup.php", "PHP", 69, 0, 0, 0, 0, 0, 0, 1, 70
